Actual,Predicted,Error
76.5,97.23797,-20.737968
76.5,92.65705,-16.157051
76.5,92.754845,-16.254845
76.5,90.63458,-14.1345825
55.96,97.879234,-41.919235
0.0,14.840376,-14.840376
85.5,99.24519,-13.7451935
89.25,114.01794,-24.767937
89.25,118.903404,-29.653404
76.5,97.95807,-21.458069
0.0,21.076237,-21.076237
68.0,97.99477,-29.994766
68.0,86.68864,-18.688637
76.5,95.13986,-18.639862
76.5,91.43513,-14.935127
76.5,101.71012,-25.210121
85.5,95.256935,-9.756935
76.5,103.364586,-26.864586
76.5,99.81703,-23.317032
52.36,89.300835,-36.940834
57.5,92.72979,-35.22979
57.5,92.72979,-35.22979
108.75,116.27206,-7.5220566
75.0,107.266396,-32.266396
75.0,107.266396,-32.266396
75.0,107.266396,-32.266396
75.0,107.266396,-32.266396
75.0,107.266396,-32.266396
75.0,107.266396,-32.266396
75.0,107.266396,-32.266396
57.5,92.72979,-35.22979
75.0,107.266396,-32.266396
75.0,107.266396,-32.266396
108.75,116.27206,-7.5220566
75.0,107.266396,-32.266396
75.0,107.266396,-32.266396
75.0,107.266396,-32.266396
0.0,92.72979,-92.72979
108.75,116.27206,-7.5220566
75.0,107.266396,-32.266396
57.5,92.72979,-35.22979
94.5,71.28146,23.218536
72.5,73.2398,-0.7397995
94.5,71.28146,23.218536
94.5,115.40011,-20.900108
94.5,71.28146,23.218536
94.5,71.28146,23.218536
94.5,71.28146,23.218536
94.5,71.28146,23.218536
94.5,71.28146,23.218536
94.5,115.40011,-20.900108
94.5,115.40011,-20.900108
94.5,71.28146,23.218536
94.5,71.28146,23.218536
94.5,115.40011,-20.900108
94.5,71.28146,23.218536
94.5,71.28146,23.218536
94.5,71.28146,23.218536
94.5,71.28146,23.218536
94.5,71.28146,23.218536
94.5,71.28146,23.218536
138.5,158.00049,-19.500488
94.5,71.281456,23.218544
94.5,71.28146,23.218536
94.5,71.28146,23.218536
62.0,96.55301,-34.55301
62.0,96.55301,-34.55301
0.0,88.8885,-88.8885
62.0,56.045204,5.954796
62.0,56.045204,5.954796
62.0,56.045204,5.954796
68.0,104.2752,-36.2752
62.0,56.045204,5.954796
62.0,56.045204,5.954796
60.0,89.63874,-29.63874
62.0,56.045204,5.954796
62.0,56.045204,5.954796
62.0,96.55301,-34.55301
62.0,96.55301,-34.55301
62.0,56.045204,5.954796
62.0,56.045204,5.954796
62.0,96.55301,-34.55301
62.0,96.55301,-34.55301
62.0,56.045204,5.954796
62.0,56.045204,5.954796
84.0,120.52854,-36.52854
62.0,56.045204,5.954796
62.0,56.045204,5.954796
62.0,96.55301,-34.55301
62.0,56.045204,5.954796
62.0,96.55301,-34.55301
0.0,88.8885,-88.8885
62.0,56.045204,5.954796
62.0,96.55299,-34.552994
62.0,96.55299,-34.552994
62.0,56.045204,5.954796
62.0,90.7749,-28.774902
85.5,109.33939,-23.839394
76.5,142.47797,-65.97797
76.5,142.47797,-65.97797
80.7,106.66497,-25.964973
76.5,115.3937,-38.8937
68.0,80.40295,-12.402946
76.5,96.154594,-19.654594
46.66,5.5345316,41.12547
104.0,115.61559,-11.615593
76.5,124.71611,-48.21611
55.08,5.718294,49.36171
62.0,104.86851,-42.868507
62.0,113.800255,-51.800255
84.0,123.642784,-39.642784
62.0,68.67359,-6.6735916
62.0,68.67359,-6.6735916
62.0,113.800255,-51.800255
62.0,58.86675,3.1332512
62.0,68.67359,-6.6735916
62.0,68.67359,-6.6735916
62.0,113.800255,-51.800255
62.0,58.86675,3.1332512
62.0,68.67359,-6.6735916
62.0,113.800255,-51.800255
62.0,104.86851,-42.868507
0.0,94.74836,-94.74836
84.0,123.642784,-39.642784
62.0,104.86851,-42.868507
62.0,113.800255,-51.800255
62.0,68.67361,-6.673607
62.0,68.67359,-6.6735916
62.0,113.800255,-51.800255
62.0,58.86675,3.1332512
60.0,94.74836,-34.74836
62.0,68.67359,-6.6735916
62.0,68.67359,-6.6735916
62.0,68.67359,-6.6735916
62.0,113.800255,-51.800255
62.0,58.86675,3.1332512
62.0,89.77352,-27.773521
62.0,113.800255,-51.800255
62.0,102.74691,-40.74691
62.0,113.800255,-51.800255
62.0,58.86675,3.1332512
84.0,116.21016,-32.21016
68.5,113.315216,-44.815216
76.5,111.254814,-34.754814
68.0,112.05921,-44.05921
76.5,113.19711,-36.697113
76.5,111.82485,-35.324852
76.5,114.10175,-37.601753
76.5,116.14909,-39.649094
62.0,68.67359,-6.6735916
62.0,113.800255,-51.800255
0.0,94.74836,-94.74836
62.0,104.86851,-42.868507
62.0,68.67359,-6.6735916
55.96,95.60015,-39.640152
62.0,58.86675,3.1332512
62.0,113.800255,-51.800255
62.0,68.67361,-6.673607
76.5,115.75771,-39.257713
90.0,50.279755,39.720245
90.0,78.2392,11.760803
90.0,78.2392,11.760803
90.0,50.279755,39.720245
90.0,50.279755,39.720245
90.0,50.279755,39.720245
90.0,50.279755,39.720245
90.0,50.279755,39.720245
90.0,50.279755,39.720245
65.0,25.542429,39.457573
90.0,50.279755,39.720245
90.0,50.279755,39.720245
0.0,25.542429,-25.542429
90.0,50.279755,39.720245
90.0,50.279755,39.720245
90.0,78.2392,11.760803
90.0,78.2392,11.760803
90.0,50.279755,39.720245
90.0,91.821785,-1.821785
90.0,50.279755,39.720245
90.0,78.2392,11.760803
65.0,25.542429,39.457573
90.0,41.92402,48.07598
90.0,78.2392,11.760803
90.0,50.279755,39.720245
130.5,44.48569,86.01431
98.2,136.07196,-37.871964
90.0,50.279755,39.720245
0.0,25.542429,-25.542429
90.0,83.91375,6.0862503
90.0,91.821846,-1.821846
90.0,78.23924,11.760757
90.0,50.279755,39.720245
98.2,131.99986,-33.799866
90.0,50.279755,39.720245
90.0,50.279755,39.720245
90.0,50.279755,39.720245
90.0,50.279755,39.720245
68.0,107.60662,-39.60662
85.0,62.65009,22.34991
17.6,79.3462,-61.7462
85.0,62.65009,22.34991
85.0,62.65009,22.34991
17.6,79.3462,-61.7462
0.0,69.48446,-69.48446
76.5,117.03451,-40.534508
0.0,14.094116,-14.094116
0.0,163.39403,-163.39403
0.0,165.53412,-165.53412
0.0,137.22012,-137.22012
0.0,143.4226,-143.4226
0.0,92.63705,-92.63705
76.5,89.312256,-12.812256
0.0,148.1463,-148.1463
0.0,92.63705,-92.63705
94.0,107.443504,-13.443504
124.25,148.69635,-24.44635
76.5,118.07058,-41.57058
94.5,73.95042,20.549583
94.5,73.95042,20.549583
86.0,97.58964,-11.589638
63.0,105.60304,-42.603043
94.5,73.95042,20.549583
94.5,73.95042,20.549583
94.5,73.95042,20.549583
94.5,73.95042,20.549583
63.0,105.60304,-42.603043
94.5,80.580025,13.919975
94.5,73.95042,20.549583
94.5,73.95042,20.549583
94.5,73.95042,20.549583
94.5,73.95042,20.549583
94.5,73.95042,20.549583
94.5,73.95042,20.549583
63.0,105.60304,-42.603043
94.5,73.95042,20.549583
94.5,73.95042,20.549583
94.5,80.580025,13.919975
36.25,65.695175,-29.445175
94.5,73.95042,20.549583
94.5,73.95042,20.549583
86.0,91.850174,-5.850174
86.0,91.850174,-5.850174
94.5,73.95042,20.549583
86.0,91.850174,-5.850174
86.0,91.850174,-5.850174
94.5,75.88076,18.61924
94.5,73.95042,20.549583
124.7,116.64965,8.050346
86.0,91.850174,-5.850174
94.5,73.95042,20.549583
94.5,73.95042,20.549583
62.0,96.30829,-34.30829
0.0,77.92947,-77.92947
62.0,93.69165,-31.69165
62.0,82.913704,-20.913704
62.0,96.56318,-34.56318
62.0,82.91372,-20.91372
62.0,48.1042,13.895802
62.0,48.1042,13.895802
62.0,48.1042,13.895802
62.0,48.1042,13.895802
62.0,81.78991,-19.78991
62.0,82.91372,-20.91372
0.0,77.92947,-77.92947
62.0,84.83153,-22.831528
62.0,82.91372,-20.91372
63.0,107.87651,-44.87651
62.0,82.91372,-20.91372
60.0,76.246025,-16.246025
62.0,111.270836,-49.270836
62.0,96.56318,-34.56318
62.0,48.1042,13.895802
62.0,48.1042,13.895802
62.0,82.91372,-20.91372
62.0,48.1042,13.895802
62.0,85.24453,-23.24453
62.0,48.1042,13.895802
62.0,48.1042,13.895802
62.0,110.559555,-48.559555
62.0,96.56318,-34.56318
62.0,48.1042,13.895802
62.0,48.1042,13.895802
62.0,48.1042,13.895802
85.5,108.21374,-22.713737
0.0,123.885185,-123.885185
76.5,127.7484,-51.248398
0.0,95.66125,-95.66125
58.9,118.72436,-59.824356
62.0,71.20797,-9.20797
62.0,99.57704,-37.57704
62.0,55.155327,6.844673
62.0,55.155327,6.844673
62.0,99.57704,-37.57704
62.0,71.20797,-9.20797
62.0,71.20797,-9.20797
84.0,118.73658,-34.73658
62.0,55.155327,6.844673
62.0,55.155327,6.844673
62.0,71.20797,-9.20797
62.0,71.20797,-9.20797
62.0,55.155327,6.844673
62.0,99.57704,-37.57704
62.0,99.57704,-37.57704
62.0,110.811745,-48.811745
60.0,86.14962,-26.14962
0.0,89.45617,-89.45617
62.0,71.20797,-9.20797
62.0,71.20797,-9.20797
76.5,115.37673,-38.87673
84.0,115.56884,-31.56884
62.0,99.57704,-37.57704
62.0,99.57704,-37.57704
60.0,89.45617,-29.45617
0.0,89.45617,-89.45617
62.0,71.20797,-9.20797
62.0,71.20797,-9.20797
62.0,71.20797,-9.20797
62.0,71.20799,-9.207993
62.0,55.15534,6.8446617
62.0,71.20797,-9.20797
62.0,71.20797,-9.20797
62.0,71.20797,-9.20797
62.0,55.155327,6.844673
62.0,99.57704,-37.57704
84.0,104.0468,-20.046799
62.0,110.811745,-48.811745
62.0,55.155327,6.844673
62.0,71.20797,-9.20797
62.0,99.57704,-37.57704
62.0,99.57704,-37.57704
60.0,89.45617,-29.45617
62.0,71.20797,-9.20797
62.0,71.20797,-9.20797
84.0,64.80614,19.193863
62.0,55.155327,6.844673
62.0,71.20797,-9.20797
85.5,111.498474,-25.998474
65.0,109.887,-44.887
75.0,107.443375,-32.443375
76.5,108.217285,-31.717285
76.5,125.55663,-49.056633
76.5,98.93423,-22.434227
69.4,132.5852,-63.185204
55.9,108.25468,-52.354675
0.0,20.917103,-20.917103
0.0,11.054895,-11.054895
65.0,103.07238,-38.07238
0.0,145.66965,-145.66965
0.0,135.63602,-135.63602
91.38,142.3336,-50.953606
88.4,133.581,-45.180992
88.4,100.23658,-11.836578
65.0,117.50471,-52.504707
0.0,0.434376,-0.434376
76.5,114.32792,-37.82792
58.9,112.09196,-53.191956
76.5,128.52496,-52.024963
106.75,125.307686,-18.557686
76.5,107.85258,-31.352577
46.66,7.7304263,38.929573
65.0,117.50471,-52.504707
76.5,121.13707,-44.63707
55.08,8.348707,46.731293
76.5,117.84083,-41.340828
55.96,111.939354,-55.979355
36.0,100.95066,-64.95066
68.0,91.76481,-23.764809
75.79,117.25526,-41.465256
63.46,113.28619,-49.826187
63.46,113.28619,-49.826187
68.0,109.73702,-41.737022
75.0,150.04309,-75.04309
89.75,152.5168,-62.7668
72.5,102.14527,-29.645271
94.5,112.99533,-18.49533
94.5,112.99533,-18.49533
76.5,110.044365,-33.544365
94.5,110.583694,-16.083694
94.5,110.583694,-16.083694
94.5,112.99533,-18.49533
94.5,112.99533,-18.49533
94.5,112.99533,-18.49533
85.5,110.044365,-24.544365
138.5,139.47275,-0.9727478
94.5,112.99533,-18.49533
94.5,136.98172,-42.48172
94.5,112.99533,-18.49533
94.5,110.583694,-16.083694
94.5,112.99533,-18.49533
72.5,108.50152,-36.00152
94.5,112.99533,-18.49533
94.5,136.98172,-42.48172
94.5,110.583694,-16.083694
94.5,112.99533,-18.49533
94.5,112.99533,-18.49533
80.75,155.45349,-74.70349
72.5,102.14527,-29.645271
94.5,112.99533,-18.49533
94.5,112.99533,-18.49533
94.5,136.98172,-42.48172
94.5,110.583694,-16.083694
94.5,110.583694,-16.083694
36.25,128.60294,-92.352936
76.5,130.70284,-54.202835
76.5,125.858536,-49.358536
0.0,2.543454,-2.543454
76.5,156.25339,-79.75339
0.0,-3.537918,3.537918
75.0,143.62296,-68.622955
0.0,-3.9351287,3.9351287
75.0,140.72337,-65.72337
12.0,206.28116,-194.28116
12.0,115.65324,-103.65324
85.5,138.69794,-53.197937
0.0,2.6167407,-2.6167407
12.0,115.65324,-103.65324
62.0,96.886314,-34.886314
62.0,96.886314,-34.886314
62.0,96.886314,-34.886314
62.0,130.37294,-68.37294
62.0,96.886314,-34.886314
62.0,130.37294,-68.37294
62.0,96.886314,-34.886314
62.0,130.37294,-68.37294
62.0,96.886314,-34.886314
62.0,96.886314,-34.886314
62.0,96.886314,-34.886314
62.0,130.37294,-68.37294
62.0,96.886314,-34.886314
62.0,96.886314,-34.886314
62.0,96.886314,-34.886314
62.0,130.37294,-68.37294
62.0,123.353546,-61.353546
62.0,96.886314,-34.886314
62.0,130.37294,-68.37294
62.0,96.886314,-34.886314
62.0,96.886314,-34.886314
62.0,96.886314,-34.886314
60.0,134.78198,-74.78198
84.0,128.77934,-44.779343
62.0,96.886314,-34.886314
62.0,130.37294,-68.37294
62.0,130.37294,-68.37294
62.0,96.886314,-34.886314
0.0,126.01623,-126.01623
62.0,96.88633,-34.88633
76.5,136.19429,-59.69429
76.5,131.93054,-55.430542
76.5,128.24742,-51.74742
84.0,128.77934,-44.779343
0.0,117.24731,-117.24731
80.0,13.526169,66.47383
0.0,-1.2826471,1.2826471
80.0,24.362774,55.637226
0.0,160.50803,-160.50803
0.0,160.50803,-160.50803
90.0,143.2864,-53.286407
65.0,124.376396,-59.376396
80.0,136.29082,-56.290817
84.0,148.72055,-64.72055
62.0,108.91324,-46.91324
84.0,147.96066,-63.960663
62.0,135.96112,-73.96112
62.0,108.91324,-46.91324
75.0,170.20496,-95.204956
75.0,177.70044,-102.70044
75.0,149.44432,-74.44432
75.0,156.32526,-81.32526
0.0,0.062352657,-0.062352657
6.0,178.7654,-172.7654
6.0,178.7654,-172.7654
0.0,-3.3731475,3.3731475
62.0,135.96112,-73.96112
62.0,108.91324,-46.91324
62.0,108.91324,-46.91324
62.0,108.91324,-46.91324
62.0,108.91324,-46.91324
85.5,138.57672,-53.07672
12.0,205.6885,-193.6885
75.0,176.99487,-101.99487
62.0,135.96112,-73.96112
62.0,108.91324,-46.91324
0.0,124.02531,-124.02531
62.0,135.96112,-73.96112
62.0,108.91324,-46.91324
62.0,108.91324,-46.91324
62.0,126.96261,-64.96261
62.0,135.96112,-73.96112
62.0,108.91324,-46.91324
62.0,108.91324,-46.91324
18.0,208.66417,-190.66417
105.0,178.14532,-73.145325
75.0,153.99258,-78.992584
62.0,108.91324,-46.91324
62.0,108.91324,-46.91324
62.0,108.91324,-46.91324
62.0,108.91324,-46.91324
76.5,125.27559,-48.77559
62.0,135.96112,-73.96112
62.0,135.96112,-73.96112
62.0,108.91324,-46.91324
65.0,172.09164,-107.091644
65.0,172.09164,-107.091644
60.0,158.38586,-98.385864
65.0,172.09164,-107.091644
76.5,146.07224,-69.572235
65.0,173.26526,-108.26526
65.0,173.26526,-108.26526
60.0,183.78738,-123.787384
65.0,172.09163,-107.09163
65.0,173.26526,-108.26526
60.0,158.38586,-98.385864
65.0,172.09164,-107.091644
65.0,173.26526,-108.26526
65.0,173.26526,-108.26526
65.0,173.26526,-108.26526
65.0,172.09164,-107.091644
0.0,158.38586,-158.38586
61.0,136.71732,-75.717316
65.0,173.26526,-108.26526
65.0,173.26526,-108.26526
90.0,167.45721,-77.457214
65.0,173.26526,-108.26526
60.0,158.38586,-98.385864
90.0,186.29504,-96.295044
65.0,173.26526,-108.26526
65.0,172.09164,-107.091644
66.0,143.91982,-77.919815
65.0,173.26526,-108.26526
65.0,173.26526,-108.26526
76.5,150.0068,-73.506805
65.0,172.09164,-107.091644
65.0,173.26526,-108.26526
60.0,158.38586,-98.385864
65.0,173.26526,-108.26526
80.0,46.336353,33.663647
60.0,183.78738,-123.787384
65.0,172.09164,-107.091644
0.0,158.38586,-158.38586
67.5,151.2256,-83.7256
67.5,151.2256,-83.7256
90.0,176.31265,-86.31265
75.0,161.83496,-86.83496
76.5,137.45619,-60.956192
85.5,137.45619,-51.956192
84.0,143.13992,-59.139923
62.0,135.96112,-73.96112
62.0,108.91324,-46.91324
0.0,124.02531,-124.02531
70.0,120.42193,-50.42193
67.0,127.307655,-60.307655
70.0,168.67145,-98.67145
81.0,63.64358,17.356419
81.0,77.8623,3.137703
80.0,103.58702,-23.58702
81.0,53.049503,27.950497
90.0,4.5436554,85.456345
81.0,-0.69658804,81.69659
0.0,-3.7006207,3.7006207
90.0,111.37635,-21.37635
75.0,157.66544,-82.665436
0.0,54.17999,-54.17999
68.0,137.17311,-69.17311
90.0,154.72284,-64.72284
76.5,128.75145,-52.25145
76.08,119.69868,-43.618675
63.75,115.268105,-51.518105
67.0,141.2795,-74.279495
67.0,141.2795,-74.279495
67.0,161.01328,-94.013275
75.0,-3.0165172,78.01652
75.0,133.51537,-58.515366
98.0,150.03494,-52.034943
75.0,157.5604,-82.560394
81.0,8.426416,72.573586
62.0,134.94617,-72.94617
62.0,134.94617,-72.94617
62.0,108.38185,-46.38185
75.0,133.9922,-58.992203
75.0,158.36877,-83.368774
81.0,-3.3735032,84.373505
62.0,134.94617,-72.94617
84.0,150.59407,-66.59407
75.0,170.23317,-95.23317
62.0,134.94617,-72.94617
62.0,108.38185,-46.38185
62.0,108.38185,-46.38185
80.0,137.51456,-57.514557
162.0,42.069576,119.93042
62.0,134.94617,-72.94617
153.0,49.994915,103.00508
62.0,134.94617,-72.94617
62.0,134.94617,-72.94617
62.0,108.38185,-46.38185
62.0,108.38185,-46.38185
62.0,108.38185,-46.38185
84.0,150.59407,-66.59407
62.0,134.94617,-72.94617
62.0,108.38185,-46.38185
0.0,123.85401,-123.85401
81.0,0.6027899,80.39721
84.0,150.59407,-66.59407
81.0,48.01057,32.98943
62.0,134.94617,-72.94617
62.0,108.38185,-46.38185
62.0,134.94617,-72.94617
62.0,134.94617,-72.94617
62.0,134.94617,-72.94617
0.0,120.622215,-120.622215
62.0,134.94617,-72.94617
62.0,136.41747,-74.417465
62.0,134.94617,-72.94617
98.0,155.89693,-57.896927
75.0,170.23317,-95.23317
62.0,134.94617,-72.94617
62.0,134.94617,-72.94617
62.0,108.38185,-46.38185
60.0,215.8439,-155.8439
90.0,144.12128,-54.121277
75.0,166.25392,-91.25392
76.5,117.50098,-41.000977
76.5,115.23695,-38.736954
75.0,154.82599,-79.82599
76.5,126.33572,-49.835716
90.0,148.77927,-58.779266
76.5,123.218445,-46.718445
76.5,125.57237,-49.072372
75.0,143.39185,-68.391846
80.0,62.56882,17.43118
153.0,207.00882,-54.00882
75.0,159.22916,-84.22916
98.0,155.09528,-57.095276
89.0,3.9940464,85.00595
75.0,160.79251,-85.79251
76.5,125.621056,-49.121056
75.0,175.58047,-100.580475
75.0,170.07808,-95.07808
90.0,144.818,-54.817993
76.5,125.621056,-49.121056
100.0,202.4739,-102.47391
94.5,108.55955,-14.059547
94.5,106.03334,-11.53334
72.5,94.74772,-22.247719
94.5,108.55955,-14.059547
86.0,141.34636,-55.34636
86.0,140.61798,-54.61798
94.5,129.73236,-35.23236
36.25,96.70605,-60.456047
94.5,108.55955,-14.059547
89.0,3.9940464,85.00595
50.8,40.962337,9.837662
100.0,202.72186,-102.72186
76.5,128.6028,-52.1028
75.0,165.62686,-90.62686
86.0,140.61798,-54.61798
94.5,106.03334,-11.53334
124.7,176.2383,-51.5383
86.0,140.61798,-54.61798
153.0,63.93176,89.06824
94.5,129.73236,-35.23236
94.5,129.73236,-35.23236
94.5,106.03334,-11.53334
94.5,108.55955,-14.059547
94.5,108.55955,-14.059547
94.5,108.55955,-14.059547
94.5,108.55955,-14.059547
86.0,140.61798,-54.61798
94.5,106.03334,-11.53334
94.5,108.55955,-14.059547
86.0,140.61801,-54.61801
94.5,129.73238,-35.232376
86.0,140.61798,-54.61798
94.5,108.55955,-14.059547
94.5,108.55955,-14.059547
86.0,140.61798,-54.61798
98.0,173.40132,-75.40132
94.5,108.55955,-14.059547
94.5,108.55955,-14.059547
94.5,106.03334,-11.53334
94.5,108.55955,-14.059547
94.5,108.55955,-14.059547
86.0,141.34636,-55.34636
94.5,106.03334,-11.53334
94.5,106.03334,-11.53334
94.5,108.55955,-14.059547
94.5,108.55955,-14.059547
62.0,113.18058,-51.18058
62.0,128.52501,-66.52501
62.0,99.813156,-37.813156
0.0,113.25509,-113.25509
62.0,128.52501,-66.52501
81.0,35.536224,45.463776
62.0,113.18058,-51.18058
62.0,128.52501,-66.52501
84.0,140.27173,-56.27173
62.0,99.813156,-37.813156
62.0,125.70717,-63.70717
62.0,128.52501,-66.52501
62.0,99.813156,-37.813156
0.0,122.53629,-122.53629
62.0,128.52501,-66.52501
62.0,113.180565,-51.180565
84.0,140.27173,-56.27173
90.0,150.63132,-60.631317
62.0,113.18058,-51.18058
62.0,113.18058,-51.18058
62.0,128.52501,-66.52501
60.0,113.264565,-53.264565
62.0,128.52501,-66.52501
62.0,128.52501,-66.52501
62.0,125.70717,-63.70717
62.0,113.18058,-51.18058
62.0,128.52501,-66.52501
62.0,99.813156,-37.813156
62.0,128.52501,-66.52501
62.0,128.52501,-66.52501
62.0,128.52501,-66.52501
60.0,117.60613,-57.606133
62.0,99.813156,-37.813156
88.0,168.37692,-80.37692
98.0,144.3971,-46.397095
81.0,42.083538,38.916462
88.0,154.91342,-66.91342
153.0,61.774525,91.22548
76.5,135.62189,-59.121887
63.75,117.322624,-53.572624
63.75,98.27175,-34.52175
80.0,134.26636,-54.266357
67.5,170.44635,-102.94635
153.0,202.68497,-49.684967
75.0,162.08794,-87.08794
105.0,142.44386,-37.443863
67.5,170.44635,-102.94635
0.0,88.7225,-88.7225
99.0,135.28119,-36.28119
99.0,135.2812,-36.281204
153.0,201.8849,-48.884903
96.0,73.03232,22.967682
153.0,124.67417,28.325829
98.0,157.41904,-59.419037
98.0,130.06429,-32.064285
105.0,185.17795,-80.17795
76.5,110.9307,-34.430702
76.5,124.05996,-47.55996
0.0,136.52637,-136.52637
76.5,130.63815,-54.138153
76.5,116.43415,-39.93415
65.0,136.52637,-71.52637
89.0,54.894802,34.105198
115.0,152.30832,-37.30832
115.0,1.8402038,113.1598
115.0,3.0535004,111.9465
115.0,4.389454,110.61055
62.0,125.87214,-63.87214
62.0,126.15123,-64.15123
62.0,109.14182,-47.141823
62.0,109.14182,-47.141823
75.0,144.3642,-69.3642
67.0,147.4956,-80.495605
75.0,112.17561,-37.175613
62.0,119.88235,-57.882347
0.0,123.18449,-123.18449
96.0,54.16348,41.83652
105.0,79.36047,25.639526
96.0,45.67837,50.32163
89.0,17.220213,71.779785
62.0,119.88235,-57.882347
62.0,122.67069,-60.670692
62.0,129.67204,-67.67204
62.0,126.15123,-64.15123
98.0,176.65222,-78.65222
62.0,125.34943,-63.349426
62.0,125.34943,-63.349426
75.0,170.2745,-95.274506
62.0,125.87214,-63.87214
62.0,126.15123,-64.15123
62.0,109.14182,-47.141823
105.0,142.4072,-37.407196
62.0,122.67069,-60.670692
62.0,109.14182,-47.141823
62.0,125.34943,-63.349426
62.0,125.87214,-63.87214
62.0,109.14182,-47.141823
90.0,119.40093,-29.400932
75.0,123.629074,-48.629074
114.0,191.95781,-77.95781
62.0,119.88235,-57.882347
62.0,126.15123,-64.15123
62.0,119.88235,-57.882347
98.0,176.23682,-78.23682
62.0,126.15123,-64.15123
62.0,109.14182,-47.141823
62.0,109.14182,-47.141823
110.0,174.50912,-64.509125
105.0,161.39406,-56.39406
9.0,143.59996,-134.59996
162.0,198.58514,-36.585144
62.0,124.39655,-62.396553
62.0,126.15122,-64.15122
0.0,123.18449,-123.18449
115.0,154.72125,-39.721252
76.5,110.4251,-33.925102
76.5,134.3313,-57.8313
63.5,120.872856,-57.372856
75.0,170.52579,-95.52579
105.0,160.7512,-55.751205
75.0,175.7409,-100.740906
81.0,50.098835,30.901165
96.0,35.173233,60.826767
81.0,30.255716,50.744286
